"","Num","Treatment","Name","Hatchery","PhylumOther","sum_abun"
"135",23,"S4","T3","VIMS","Myxococcota",1.15506329113924
"136",23,"S4","T3","VIMS","Proteobacteria",83.2410337552743
"137",23,"S4","T3","VIMS","Unknown",9.96044303797468
"138",23,"S4","T3","VIMS","Others",2.13080168776371
"139",24,"C","T4","VIMS","Bacteroidota",3.12236286919831
"140",24,"C","T4","VIMS","Firmicutes",1.7457805907173
"141",24,"C","T4","VIMS","Myxococcota",2.63976793248945
"142",24,"C","T4","VIMS","Proteobacteria",90.3665611814346
"143",24,"C","T4","VIMS","Unknown",0.688291139240506
"144",24,"C","T4","VIMS","Others",1.43723628691983
"145",25,"C","T4","VIMS","Bacteroidota",0.762130801687764
"146",25,"C","T4","VIMS","Firmicutes",4.45147679324895
"147",25,"C","T4","VIMS","Myxococcota",2.01476793248945
"148",25,"C","T4","VIMS","Proteobacteria",90.6487341772152
"149",25,"C","T4","VIMS","Unknown",1.02320675105485
"150",25,"C","T4","VIMS","Others",1.0996835443038
"151",26,"C","T4","VIMS","Bacteroidota",2.57120253164557
"152",26,"C","T4","VIMS","Firmicutes",1.32383966244726
"153",26,"C","T4","VIMS","Myxococcota",5.19251054852321
"154",26,"C","T4","VIMS","Proteobacteria",88.7368143459916
"155",26,"C","T4","VIMS","Unknown",0.722573839662447
"156",26,"C","T4","VIMS","Others",1.45305907172996
"157",27,"C","T4","VIMS","Bacteroidota",4.88924050632911
"158",27,"C","T4","VIMS","Firmicutes",0.549841772151899
"159",27,"C","T4","VIMS","Myxococcota",3.11708860759494
"160",27,"C","T4","VIMS","Proteobacteria",88.5245253164557
"161",27,"C","T4","VIMS","Unknown",1.02056962025316
"162",27,"C","T4","VIMS","Others",1.89873417721519
"163",28,"S4","T4","VIMS","Bacteroidota",0.933544303797468
"164",28,"S4","T4","VIMS","Firmicutes",0.708069620253165
"165",28,"S4","T4","VIMS","Myxococcota",2.66613924050633
"166",28,"S4","T4","VIMS","Proteobacteria",94.4224683544304
"167",28,"S4","T4","VIMS","Unknown",0.431170886075949
"168",28,"S4","T4","VIMS","Others",0.838607594936709
"169",29,"S4","T4","VIMS","Bacteroidota",2.05432489451477
"170",29,"S4","T4","VIMS","Firmicutes",3.00369198312236
"171",29,"S4","T4","VIMS","Myxococcota",7.59493670886076
"172",29,"S4","T4","VIMS","Proteobacteria",86.5770042194093
"173",29,"S4","T4","VIMS","Unknown",0.208333333333333
"174",29,"S4","T4","VIMS","Others",0.561708860759494
"175",30,"S4","T4","VIMS","Bacteroidota",1.82753164556962
"176",30,"S4","T4","VIMS","Firmicutes",3.33333333333333
"177",30,"S4","T4","VIMS","Myxococcota",5.75158227848101
"178",30,"S4","T4","VIMS","Proteobacteria",86.9725738396624
"179",30,"S4","T4","VIMS","Unknown",0.722573839662447
"180",30,"S4","T4","VIMS","Others",1.39240506329114
"181",31,"S4","T4","VIMS","Bacteroidota",6.87763713080169
"182",31,"S4","T4","VIMS","Firmicutes",0.585443037974684
