"","SampleID","SampleName","Treatment","seq_total","ASV_count"
"35","RS344_S58","VIMS2_CONC_2","C",36053,146
"36","RS345_S70","VIMS2_CONC_3","C",45106,167
"37","RS355_S95","VIMS2_S4A_1","S4",58201,190
"38","RS356_S107","VIMS2_S4A_2","S4",59798,163
"39","RS357_S24","VIMS2_S4A_3","S4",55796,155
"40","RS358_S36","VIMS2_S4B_1","S4",56674,184
"41","RS359_S48","VIMS2_S4B_2","S4",54711,176
"42","RS360_S60","VIMS2_S4B_3","S4",58570,160
"43","RS361_S72","VIMS2_S4C_1","S4",73461,142
"44","RS362_S84","VIMS2_S4C_2","S4",63404,145
"45","RS363_S96","VIMS2_S4C_3","S4",75547,161
"46","ET201_S1","VIMS3_CONA_1","C",50245,187
"47","ET202_S13","VIMS3_CONA_2","C",44085,175
"48","ET203_S25","VIMS3_CONA_3","C",47032,160
"49","ET204_S37","VIMS3_CONB_1","C",45918,210
"50","ET205_S49","VIMS3_CONB_2","C",28997,131
"51","ET206_S61","VIMS3_CONB_3","C",47287,190
"52","ET207_S73","VIMS3_CONC_1","C",65294,248
"53","ET208_S85","VIMS3_CONC_2","C",38776,216
"54","ET209_S2","VIMS3_CONC_3","C",13685,128
"55","ET210_S14","VIMS3_COND_1","C",37906,207
"56","ET211_S26","VIMS3_COND_2","C",41962,194
"57","ET212_S38","VIMS3_COND_3","C",39696,219
"58","ET213_S50","VIMS3_S4A_1","S4",48296,206
"59","ET214_S62","VIMS3_S4A_2","S4",47351,314
"60","ET215_S74","VIMS3_S4A_3","S4",48879,243
"61","ET216_S86","VIMS3_S4B_1","S4",63642,350
"62","ET217_S3","VIMS3_S4B_2","S4",79754,370
"63","ET218_S15","VIMS3_S4B_3","S4",48762,325
"64","ET219_S27","VIMS3_S4C_1","S4",34979,198
"65","ET220_S39","VIMS3_S4C_2","S4",36723,176
"66","ET221_S51","VIMS3_S4C_3","S4",70252,241
"67","ET222_S63","VIMS3_S4D_1","S4",52590,223
"68","ET223_S75","VIMS3_S4D_2","S4",74277,200
"69","ET224_S87","VIMS3_S4D_3","S4",54153,235
"70","ET225_S4","VIMS4_CONA_1","C",53659,167
"71","ET226_S16","VIMS4_CONA_2","C",53441,201
"72","ET227_S28","VIMS4_CONA_3","C",60965,209
"73","ET228_S40","VIMS4_CONB_1","C",31585,147
"74","ET229_S52","VIMS4_CONB_2","C",39478,191
"75","ET230_S64","VIMS4_CONB_3","C",65598,202
"76","ET231_S76","VIMS4_CONC_1","C",37178,204
"77","ET232_S88","VIMS4_CONC_2","C",43691,171
"78","ET233_S5","VIMS4_CONC_3","C",12974,163
"79","ET234_S17","VIMS4_COND_1","C",8326,146
"80","ET235_S29","VIMS4_COND_2","C",37385,199
"81","ET236_S41","VIMS4_COND_3","C",39980,166
"82","ET237_S53","VIMS4_S4A_1","S4",61884,266
"83","ET238_S65","VIMS4_S4A_2","S4",59192,172
"84","ET239_S77","VIMS4_S4A_3","S4",3220,78
"85","ET240_S89","VIMS4_S4B_1","S4",19595,176
"86","ET241_S6","VIMS4_S4B_2","S4",14665,93
"87","ET242_S18","VIMS4_S4B_3","S4",57368,195
"88","ET243_S30","VIMS4_S4C_1","S4",54678,176
"89","ET244_S42","VIMS4_S4C_2","S4",50985,199
"90","ET245_S54","VIMS4_S4C_3","S4",36766,253
"91","ET246_S66","VIMS4_S4D_1","S4",52415,197
"92","ET247_S78","VIMS4_S4D_2","S4",37438,194
"93","ET248_S90","VIMS4_S4D_3","S4",47593,209
"94","ET249_S7","CON_LAV_A1","C",81377,348
"95","ET250_S19","CON_LAV_A2","C",39913,282
"96","ET251_S31","CON_LAV_A3","C",58740,287
"97","ET252_S43","CON_LAV_B1","C",50697,210
"98","ET253_S55","CON_LAV_B2","C",59980,231
"99","ET254_S67","CON_LAV_B3","C",63820,228
"100","ET255_S79","S4_LAV_A1","S4",38158,283
"101","ET256_S91","S4_LAV_A2","S4",44008,319
"102","ET257_S8","S4_LAV_A3","S4",48580,305
"103","ET258_S20","S4_LAV_B1","S4",53871,294
"104","ET259_S32","S4_LAV_B2","S4",47011,287
"105","ET260_S44","S4_LAV_B3","S4",56024,252
"106","ET130_S40","Sta_CON_A1","C",124055,230
"107","ET131_S48","Sta_CON_A2","C",143209,258
"108","ET132_S56","Sta_CON_A3","C",157787,255
"109","ET133_S3","Sta_S4_A1","S4",55327,139
"110","ET134_S11","Sta_S4_A2","S4",35558,281
"111","ET135_S19","Sta_S4_A3","S4",96192,285
"112","ET154_S43","UV_CON_B1_A","C",113724,244
"113","ET155_S51","UV_CON_B1_B","C",119979,258
"114","ET156_S59","UV_CON_B1_C","C",121609,243
"115","ET157_S6","UV_S4_B3_A","S4",104875,164
"116","ET158_S14","UV_S4_B3_B","S4",92616,147
"117","ET159_S22","UV_S4_B3_C","S4",118093,190
"118","ET160_S29","NUV_CON_B2_A","C",64840,281
"119","ET161_S36","NUV_CON_B2_B","C",80832,264
"120","ET162_S44","NUV_CON_B2_C","C",77560,220
"121","ET163_S52","NUV_S4_B4_A","S4",83358,214
"122","ET164_S60","NUV_S4_B4_B","S4",34548,166
"123","ET165_S7","NUV_S4_B4_C","S4",92410,234
"124","ET166_S15","UV_CON_B2_A","C",170408,224
"125","ET167_S23","UV_CON_B2_B","C",165817,233
"126","ET168_S30","UV_CON_B2_C","C",162541,224
"127","ET169_S37","UV_S4_B4_A","S4",104539,240
"128","ET170_S45","UV_S4_B4_B","S4",100167,257
"129","ET171_S53","UV_S4_B4_C","S4",102170,205
"130","ET172_S61","UV_S4_B5_A","S4",84898,222
"131","ET173_S8","UV_S4_B5_B","S4",94177,247
"132","ET174_S16","UV_S4_B5_C","S4",108070,237
"133","ET261_S56","NonUVCON_B1_A1","C",35268,200
"134","ET262_S68","NonUVCON_B1_A2","C",64540,228
"135","ET263_S80","NonUVCON_B1_A3","C",43553,166
"136","ET264_S92","NonUVCON_B2_A1","C",34713,179
"137","ET265_S9","NonUVCON_B2_A2","C",53075,251
"138","ET266_S21","NonUVCON_B2_A3","C",61188,253
"139","ET267_S33","NonUVCON_B3_A1","C",31698,172
"140","ET268_S45","NonUVCON_B3_A2","C",32918,207
"141","ET269_S57","NonUVCON_B3_A3","C",37197,237
"142","ET270_S69","NonUVCON_B4_A1","C",27665,207
"143","ET271_S81","NonUVCON_B4_A2","C",36750,203
"144","ET272_S93","NonUVCON_B4_A3","C",32030,177
"145","ET273_S10","NonUVS4_B5_A1","S4",33723,179
"146","ET274_S22","NonUVS4_B5_A2","S4",62364,217
"147","ET275_S34","NonUVS4_B5_A3","S4",46594,216
"148","ET276_S46","NonUVS4_B6_A1","S4",72609,237
"149","ET277_S58","NonUVS4_B6_A2","S4",83891,219
"150","ET278_S70","NonUVS4_B6_A3","S4",48886,198
"151","ET279_S82","NonUVS4_B7_A1","S4",54109,216
"152","ET280_S94","NonUVS4_B7_A2","S4",41155,176
"153","ET281_S11","NonUVS4_B7_A3","S4",37903,195
"154","ET282_S23","NonUVS4_B8_A1","S4",46234,158
"155","ET283_S35","NonUVS4_B8_A2","S4",61910,223
"156","ET284_S47","NonUVS4_B8_A3","S4",62749,228
"157","ET285_S59","UVCON_B9_A1","C",61966,272
"158","ET286_S71","UVCON_B9_A2","C",45970,221
"159","ET287_S83","UVCON_B9_A3","C",36901,253
"160","ET288_S95","NonUVL_CONA_1","C",30570,136
"161","ET289_S12","NonUVL_CONA_2","C",65903,103
"162","ET290_S24","NonUVL_CONA_3","C",16412,124
"163","ET291_S36","NonUVL_CONB_1","C",62847,107
"164","ET292_S48","NonUVL_CONB_2","C",40646,92
"165","ET293_S60","NonUVL_CONB_3","C",43667,108
"166","ET294_S72","NonUVL_CONC_1","C",43576,144
"167","ET295_S84","NonUVL_CONC_2","C",35299,146
"168","ET296_S96","NonUVL_CONC_3","C",58444,145
"169","ET297_S97","NonUVL_S4A_1","S4",24088,93
"170","ET298_S103","NonUVL_S4A_2","S4",28642,79
"171","ET299_S109","NonUVL_S4A_3","S4",21404,81
"172","ET300_S115","NonUVL_S4B_1","S4",26413,93
"173","ET301_S121","NonUVL_S4B_2","S4",29709,112
"174","ET302_S127","NonUVL_S4B_3","S4",25962,121
"175","ET303_S133","NonUVL_S4C_1","S4",47279,155
"176","ET304_S138","NonUVL_S4C_2","S4",33024,155
